query_id,runtime,num_jgs
1,219.38304209709167,20
2,744.3122615814209,21
3,225.16377115249634,20
4,122.29737973213196,17
5,218.57587909698486,20
1,220.86927676200867,20
2,684.7866735458374,21
3,231.0335991382599,20
4,123.38918256759644,17
5,213.40495133399963,20
1,221.89643239974976,20
2,729.0047645568848,21
3,227.93212461471558,20
4,121.82153105735779,17
5,210.98309183120728,20
