nodes	edges	pattern_desc	precision	recall	fscore	dir
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	1.0	1.0	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	1.0	1.0	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	1.0	1.0	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_tspct<0.69 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage<20.51 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>14260870.0}	1.0	0.71	0.83	2016-17\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_tspct<0.69 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage<20.51 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>14260870.0}	1.0	0.71	0.83	2016-17\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_tspct<0.69 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage<20.51 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>14260870.0}	1.0	0.71	0.83	2016-17\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_minutes>30.7 \\ $A_1$.prov\_player\_\_game\_\_stats\_tspct>0.42 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	0.69	0.82	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_minutes>30.7 \\ $A_1$.prov\_player\_\_game\_\_stats\_tspct>0.42 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	0.69	0.82	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_tspct>0.42 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage>14.06 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0}	1.0	0.67	0.8	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_tspct>0.42 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage>14.02 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<15330435.0 \\ $A_2$.team=GSW}	1.0	0.59	0.74	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_minutes<36.105 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage<20.21 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>14260870.0 \\ $A_2$.team=GSW}	1.0	0.59	0.74	2016-17\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_minutes<36.57 \\ $A_1$.prov\_player\_\_game\_\_stats\_usage>14.06 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>14260870.0}	1.0	0.59	0.74	2016-17\\
\makecell{$A_1$: PT \\ $A_2$: team}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_fg\_\_three\_\_apct<0.4875 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_2$.team=GSW}	0.65	0.83	0.73	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: team\_game\_stats \\ $A_4$: team}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_game\_game\_\_date)=($A_3$.game\_date)\\($A_1$.prov\_game\_home\_\_id)=($A_3$.home\_id)\\($A_4$.team\_id)=($A_3$.team\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_deflongmidrangereboundpct>0.1 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_4$.team=GSW}	0.59	0.84	0.69	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: team\_game\_stats \\ $A_4$: team}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_game\_game\_\_date)=($A_3$.game\_date)\\($A_1$.prov\_game\_home\_\_id)=($A_3$.home\_id)\\($A_4$.team\_id)=($A_3$.team\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_deflongmidrangereboundpct>0.1 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_4$.team=GSW}	0.59	0.84	0.69	2015-16\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: team\_game\_stats \\ $A_4$: team}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_game\_game\_\_date)=($A_3$.game\_date)\\($A_1$.prov\_game\_home\_\_id)=($A_3$.home\_id)\\($A_4$.team\_id)=($A_3$.team\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_deflongmidrangereboundpct>0.1 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_4$.team=GSW}	0.59	0.84	0.69	2015-16\\
